folder;file;point1_x;point1_y;point2_x;point2_y
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;83.5;343.5;125.5;357.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;116.5;352.5;124.5;359.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;126.5;363.5;156.5;406.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;173.5;471.5;155.5;598.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;221.5;498.5;182.5;698.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;296.5;550.5;278.5;762.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;282.5;764.5;424.5;797.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;426.5;795.5;476.5;799.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;485.5;807.5;527.5;774.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;501.5;826.5;541.5;787.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;745.5;730.5;847.5;709.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;749.5;666.5;848.5;644.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;757.5;786.5;824.5;770.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;819.5;442.5;903.5;516.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;870.5;594.5;841.5;643.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.1_1;884.5;643.5;844.5;707.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;290.5;574.5;357.5;582.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;361.5;652.5;399.5;664.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;387.5;658.5;396.5;666.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;402.5;664.5;409.5;670.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;401.5;666.5;410.5;667.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;402.5;668.5;406.5;665.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;413.5;726.5;431.5;716.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;420.5;719.5;431.5;719.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;426.5;717.5;424.5;722.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;481.5;694.5;541.5;692.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;521.5;778.5;546.5;771.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.2_2;532.5;773.5;526.5;780.5
